"username","passwordHash","employeeNumber","role","enabled"
"garcia.m","$2a$10$NrzGXDvBulMl5pIhtXm/0ORHHoA6365ujCKPz.YlbIkuQLB7JNLcq","10001","ADMIN","true"
"lim.a","$2a$10$QDHiUrxnPMxfCwV.csN6F.DvKNWny3Es0ZuvgK5CtC8hEU2qrNcaq","10002","OPERATIONS","true"
"aquino.bs","$2a$10$xfAGKaFXOLe7rG2Q2wsiku9beu8pMNN7iulzkcUUtkU3Zdb0SCH9C","10003","FINANCE","true"
"reyes.i","$2a$10$CikgeXp2c.lSikToGJpDYepV1b4ZhUZOIfAUldEqTUH7KV4a/cYqS","10004","OPERATIONS","true"
"hernandez.e","$2a$10$Tc3/yxoBaOfz1G7J8xCvL.GtpHSDyaslqROYjm8a2xybWkUEThrXC","10005","IT","true"
"villanueva.am","$2a$10$1N5.kbeIELttGGRjsTQW0.kA/ueVlexYrlakXTVL6KY2Whw9pkRqO","10006","HR","true"
"sanjose.b","$2a$10$A8/lDzkhFO9F1iDvgC9eiu0q.LXbS1hxDhT4/hWAl9ExxwNm/qgQ2","10007","HR","true"
"romualdez.a","$2a$10$D0XSRdNQD5qaQB9poPEIpeM/Al7O7/0SYKogpsETzawkgLPrRDxRa","10008","HR","true"
"atienza.r","$2a$10$ASnwmghVTphjTEAsowo.teuoqAMc9Sone1uoKgpmilNbZxZou87uC","10009","HR","true"
"alvaro.r","$2a$10$K27sqmESSgHVvDogDpIrvuR8AunOUuZvFbFrzJSWh7TmNz1H8AfT2","10010","FINANCE","true"
"salcedo.a","$2a$10$bF9cZTc.5x3jaZNK9EiSeOooBb2xArlG1q9AgSxLV8QGdOmqn7Zs6","10011","FINANCE","true"
"lopez.j","$2a$10$gNM15gRpmwEGohd7UjnSTeNDpubhs8RgXCD5rFft.x8iauPGHX2Q2","10012","FINANCE","true"
"farala.m","$2a$10$yYhDVNUU11jAiilCV44sT.G1nRrevlpGvXT9GVzbp0ScrcvFk422a","10013","FINANCE","true"
"martinez.l","$2a$10$M65K22EBf7l1/FCk1pAYLumLDivkjyH2HBm/I4/Mn8fQbWG190FJ6","10014","FINANCE","true"
"romualdez.f","$2a$10$RGokq0p.uXaOSeWjNQU8h.3p3h2fVciuaA.jVtJEuqNSncbp5laqe","10015","OPERATIONS","true"
"mata.c","$2a$10$0AKv7aWplYQLW4b7aJJW..AjIMO1lstinAPjvyZLii3WHIDQ0sbzq","10016","OPERATIONS","true"
"deleon.s","$2a$10$jMS9bRSySG/ou4WIQea/m.jkRG0/Fm1bxDxzk2otlyjCwd.weftK.","10017","OPERATIONS","true"
"sanjose.a","$2a$10$zPGHa/jIEfOQR.kEbnVpquPPYrIxHmVR5mhpeq8D3gfFTQrTBwEaa","10018","OPERATIONS","true"
"rosario.c","$2a$10$p97XotdCCMQB1BSgXJ5vKuqNqj/8CVrXtbqcZ8/wY4.0hGMYaXkY6","10019","OPERATIONS","true"
"bautista.m","$2a$10$iCksJORgLCTh0mrqqIOTnufMAWOROaRpdEDL7kBynxMPx/Xm60wMm","10020","OPERATIONS","true"
"lazaro.d","$2a$10$gwEp7eclzPdse8CTd7zPgOWXoX9wbGhwPNYDpdgTFK2KzyZag.VN.","10021","OPERATIONS","true"
"delossantos.k","$2a$10$0tIDfv5v4AuubxQACHJPwO2wMoeSit.yJ13dYoxaCNw1kLsUpyvHu","10022","OPERATIONS","true"
"santos.v","$2a$10$vdiXc9srH9Kyhwtlw..CeuLFZOsXJNdMr1IE5oPjuQUmfKwaG5Roq","10023","OPERATIONS","true"
"delrosario.t","$2a$10$DMe/FRcRcnaIbwTWQ547VOxXQ42oaNs9lRfXrsKKdAY3/lR0yea3e","10024","OPERATIONS","true"
"tolentino.j","$2a$10$ZYwze9RBu1o1e/fFtDGsZ.32jRtj/.vKjd9AFXvBaG7.WW/9IitY6","10025","OPERATIONS","true"
"gutierrez.p","$2a$10$ozdUyXKFfe77ASDyIE74Wuwo0My9kBHl4H7w7zzIH5xjOOyARH.UW","10026","OPERATIONS","true"
"manalaysay.g","$2a$10$mcWyTjH2H2JREp/gnTULfOw8ldMOyUlbLQ956nOa1omsZupTjKW0.","10027","OPERATIONS","true"
"villegas.l","$2a$10$LHVLtO7iwEiR9CKQikUHyeoXK1r146nLnfLQP89L1H5uQk8a/poR2","10028","OPERATIONS","true"
"ramos.c","$2a$10$JGbW4afhAwJtBCEpBICW3ex5f2MW2q/n4JVa7X3pj9U3EQXkaOlrK","10029","OPERATIONS","true"
"maceda.e","$2a$10$Ta9tqGS.D0YD71esQjo8GutWrSih0AbRpId1MKP3m2cqahyDarNuO","10030","OPERATIONS","true"
"aguilar.d","$2a$10$tPfUqgkpII8dCYGdQv0ubOugJlgGPAwhIHjWMIZ7vuQwJl0w61jrq","10031","OPERATIONS","true"
"castro.jf","$2a$10$PfD52ocp9odnLgX2Fa.NZ.2O0IaD88Xh/ZA0gH5QriOxiQ5wkVH42","10032","OPERATIONS","true"
"martinez.ci","$2a$10$g/W/5qSJsS87kAIxsVCW.OSUKYHx21XcEQXcr1gWF7a3WImOnfeEi","10033","OPERATIONS","true"
"santos.b","$2a$10$M65K22EBf7l1/FCk1pAYLumLDivkjyH2HBm/I4/Mn8fQbWG190FJ6","10034","OPERATIONS","true"
"asistido.y","$2a$10$OeGHMOMgHLpb77PwN7vnQeogPe4m2D0wvvxMvZwNA/YfDaxbsXbzq","10040","OPERATIONS","true"
"employee","$2a$10$/vqwOH4uUtrQ8J77OJAhAesAPT6zbOBKCvVVMnPelrOV7MR6vo1se","10041","ADMIN","true"
"employee","$2a$10$M65K22EBf7l1/FCk1pAYLumLDivkjyH2HBm/I4/Mn8fQbWG190FJ6","10050","OPERATIONS","true"
