Employee Number,Full Name,Gross Salary,Net Salary
10001,Manuel III Garcia,4500.00,4158.75
10002,Antonio Lim,4500.00,4158.75
10003,Bianca Sofia Aquino,4500.00,4158.75
10004,Isabella Reyes,4500.00,4158.75
10005,Eduard Hernandez,3500.00,3201.25
10006,Andrea Mae Villanueva,3500.00,3201.25
10007,Brad San Jose,3100.00,2820.50
10008,Alice Romualdez,2500.00,2232.50
10009,Rosie Atienza,2500.00,2232.50
10010,Roderick Alvaro,3500.00,3201.25
10011,Anthony Salcedo,3500.00,3201.25
10012,Josie Lopez,3100.00,2820.50
10013,Martha Farala,2500.00,2232.50
10014,Leila Martinez,2500.00,2232.50
10015,Fredrick Romualdez,3500.00,3201.25
10016,Christian Mata,3100.00,2820.50
10017,Selena De Leon,3100.00,2820.50
10018,Allison San Jose,2500.00,2232.50
10019,Cydney Rosario,2500.00,2232.50
10020,Mark Bautista,2500.00,2232.50
10021,Darlene Lazaro,2500.00,2232.50
10022,Kolby Delos Santos,2500.00,2232.50
10023,Vella Santos,2500.00,2232.50
10024,Tomas Del Rosario,2500.00,2232.50
10025,Jacklyn Tolentino,2500.00,2232.50
10026,Percival Gutierrez,2500.00,2232.50
10027,Garfield Manalaysay,2500.00,2232.50
10028,Lizeth Villegas,2500.00,2232.50
10029,Carol Ramos,2500.00,2232.50
10030,Emelia Maceda,2500.00,2232.50
10031,Delia Aguilar,2500.00,2232.50
10032,John Rafael Castro,3500.00,3201.25
10033,Carlos Ian Martinez,3500.00,3201.25
10034,Beatriz Santos,3500.00,3201.25
